Student ID,Lab 1,Lab 2,Lab 3,Lab 4,Exam 1,Lab 5,Lab 6,Lab 7
1000954113,100,81,25,35,0,,,
,Stopped at ex 5,"-ex1: functions print not return even/odd bool
-ex3: does not solve problem posed in ex.
-ex8: no solution
-ex9: no solution
-ex10: no solution","-ex2: index errors, code ostensibly only checks for 3x3 case: -5 pts
-ex3: board doesn't draw top/bottom borders, hard coded inputs: -5 pts
-ex4: Not attempted: -10 pts
-ex5: Does not work (no test output provided): -5 pts
-ex6 - ex10: Not attempted: -50 pts
-ex11: Not attempted: +0 pts

","-ex2b: calculates the mean every time functions is called. logic is correct but instead of recomputing the mean every time it loops over, you could store the mean in another variable (which is only calculated once). correct though. no points deducted.
-ex3: does not run: -5pts
-ex4 - ex9: not attempted: -60pts",- did not submit exam,,,
1000625629,95,87,0,88,120,,,
,"- Did not do ex 4 - count lines of 'w'
","-ex2: does not return list, prints
-ex3: does not solve problem. just takes max of list and gets all other nums less than that.
-ex7: flipped condition on rocks and scissors
-ex9: uses list of words, not string of words
-ex10: did not attempt ",- did not submit lab 3,"-ex2: enhancement: could have just called mean() function from earlier instead of re-writting. 
-ex4: does not normalize (what happens to the plot if you input 2000 data points?): -4pts
-ex6: funcs should return funcs, odd/even not really important but should have implemented for others: -3pts
-ex9: supposed to use previous functions, trapezoidal is good approach but not what assignment requests: -5pts 
","- excellent
-q6: +20pts bonus",,,
1000847686,100,0,0,0,90,,,
,Stopped at ex 5,- did not submit lab 2,- did not submit lab 3,- did not submit lab 4,"-submitted in wrong folder: -5pts
-q4: does not attribute lecture 15 code: -5pts
-q6: not correct: +5pts
",,,
1001108137,90,96,0,35,90,,,
,"-ex1: did not echo $SHELL
-ex4: did not count passwd","-ex3: does not return function, using additional argument
-ex8: outputs fib of n+1 and not n.
ACADEMIC DISHONESTY. Matches with 1001428148  ",- did not submit lab 3,"-ex1: does not normalize between x_min and x_max: -5pts
-ex3: doesn't work: -5pts
-ex4: doesn't work: -5pts
-ex5 - ex9: not attempted: -50pts ","-q2: incorrect output: -15pts
-q6: incomplete: +5pts",,,
1000999851,95,94,43,0,100,,,
,-ex4: did not count passwd,"-ex3: does not return function, using additional argument
-ex5: does not check for duplicates when appending intersection
-ex7: does not loop when p1 and p2 draw
","-ex1: Each row is referenced to each other: -5 pts
-ex2: Does not return -1 if incomplete: -2 pts
-ex6 - ex10: Not attemped: -50 pts 
-ex11: Not attempted: +0 pts",- did not submit lab 4,-q6: not attempted: +0pts,,,
1001214491,80,82,30,0,90,,,
,did not complete any assignment correctly,"-ex1: prints not return
-ex2: not a function, just block of code
-ex3: not a function, does not return a function, does not return anything for that matter
-ex4: not a function, logic correct
-ex5: not a function, logic correct
-ex6: not a function, logic correct
-ex7: not a function, logic correct
-ex8: not a function, logic correct
-ex9: not a function, logic NOT correct. uses list not string
","-ex1: Not a function: -5 pts
-ex2: Not a function. Hard-code prints for 3x3: -5 pts
-ex4: Same code as ex3, does not solve problem: -5 pts
-ex5: Does not work, takes user input but does not cast it to use it for indexing: -5 pts
-ex6 - ex10: Not attempted. -50 pts
-ex11: Not attempted: +0 pts
",- did not submit lab 4,"-q4: Does not work: -10pts
-q6: Not attempted: 0pts",,,
1001428148,80,90,24,0,80,,,
,"Did not do assignment.

EDIT: He did the git stuff
 which was not part of the grading.

- did not do ex1-ex4. ","-ex3: does not return function, using additional argument
-ex5: doesn't return common elements, prints
-ex8: outputs fib of n+1 and not n.
-ex9: reverses entire string, not words
-ex10: wrote a guessing game where human guesses computers number.
ACADEMIC DISHONESTY. Matches with 1001108137 ","-ex2: did not attempt: -10pts
-ex3: hard-coded prints: -7pts
-ex4: does not solve problem: -7pts
-ex5: Did not do problem: -7pts
-ex6: Code does not run, several flow issues: -5pts
-ex7 - ex10: Did not attempt: -40pts
",- did not submit lab 4,"- Submitted in wrong folder: -5pts
-q2: does not run: -10pts
-q4: only works for matrixes of size 5x5: -5pts
-q6: not attempted: +0pts",,,
1001397199,100,94,87,12,105,,,
